id,id_incident,date,weekday,time,shift,type,officers_required,location,police,police_weight,police_action,Police_action_weight,injury,injury_weight,damage,damage_weight,workplace_violen,woekplace_violence_Weight,assault_weight,officers_weighted,assault,officers_total,severity
7877,130019,1/10/2013,5,5:21:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,2.2,FALSE,2,med
7879,130020,1/11/2013,6,10:57:00 AM,1,23 Theft Hospital,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7880,130021,1/11/2013,6,12:35:00 PM,1,19a Show Of Force - Springwood ,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7881,130022,1/12/2013,7,2:27:00 AM,3,28 Vehicle Accident,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7882,130023,1/12/2013,7,10:18:00 AM,1,10a Code White - Springwood,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7883,130024,1/12/2013,7,6:50:00 PM,2,28 Vehicle Accident,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,3,high
7884,130025,1/13/2013,1,1:49:00 AM,3,10 Code White - HEB,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7885,130026,1/13/2013,1,12:37:00 PM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7886,130027,1/14/2013,2,12:48:00 AM,3,05 Code Red,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7887,130028,1/14/2013,2,1:45:00 AM,3,05 Code Red,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7888,130029,1/14/2013,2,2:14:00 AM,3,05 Code Red,3,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7889,130030,1/14/2013,2,10:45:00 AM,1,24 Theft Personal,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,5,high
7890,130031,1/16/2013,4,3:45:00 PM,2,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,3,high
7891,130032,1/16/2013,4,6:11:00 PM,2,21 Suspicious Person,2,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7892,130033,1/18/2013,6,4:52:00 AM,3,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,1,low
7897,130037,1/18/2013,6,5:50:00 PM,2,12 Disorderly,2,Main,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,2.2,FALSE,2,med
7893,130034,1/18/2013,6,8:45:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,3,high
7894,130035,1/18/2013,6,11:17:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7895,130036,1/18/2013,6,3:07:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7898,130038,1/18/2013,6,5:59:00 PM,2,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,1,low
7899,130039,1/19/2013,7,11:20:00 AM,1,19 Show Of Force - HEB,1,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7900,130040,1/20/2013,1,4:17:00 PM,2,19a Show Of Force - Springwood ,1,Hospital Grounds,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1,1.8225,FALSE,3,high
7902,130041,1/20/2013,1,4:22:00 PM,2,10a Code White - Springwood,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7903,130042,1/22/2013,3,8:59:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7904,130043,1/22/2013,3,3:17:00 PM,2,37 Security Breach,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7905,130044,1/22/2013,3,8:20:00 PM,2,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7906,130045,1/23/2013,4,2:35:00 AM,3,37 Security Breach,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7907,130046,1/23/2013,4,9:00:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7908,130047,1/23/2013,4,9:15:00 AM,1,28 Vehicle Accident,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7909,130048,1/23/2013,4,12:05:00 PM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7910,130049,1/24/2013,5,1:10:00 PM,1,24 Theft Personal,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7911,130050,1/24/2013,5,5:18:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,Physical,1.35,FALSE,1,FALSE,1,FALSE,1,1,2.7,FALSE,3,high
7913,130052,1/25/2013,6,7:15:00 PM,2,32 Other,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7912,130051,1/25/2013,6,5:30:00 AM,3,12 Disorderly,2,Main,NO,1,Verbal,1.1,FALSE,1,FALSE,1,TRUE,1.35,1,2.97,FALSE,1,low
7914,130053,1/26/2013,7,8:25:00 AM,1,21 Suspicious Person,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,3,high
7915,130054,1/26/2013,7,7:40:00 PM,2,28 Vehicle Accident,2,Hospital Grounds,YES,1.5,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,1,low
7916,130055,1/27/2013,1,12:01:00 AM,3,19 Show Of Force - HEB,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7917,130056,1/27/2013,1,4:36:00 PM,2,19 Show Of Force - HEB,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7918,130057,1/28/2013,2,3:00:00 AM,3,27 Vandalism Personal,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7919,130058,1/28/2013,2,12:24:00 PM,1,37 Security Breach,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7920,130059,1/29/2013,3,6:45:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,1,low
7922,130061,1/29/2013,3,7:50:00 PM,2,12 Disorderly,2,Hospital Grounds,NO,1,Verbal,1.1,FALSE,1,FALSE,1,TRUE,1.35,1,2.97,FALSE,2,med
7921,130060,1/29/2013,3,12:10:00 PM,1,09 Code Pink,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,3,high
7923,130062,1/30/2013,4,12:04:00 AM,3,20 Safety Hazard,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7924,130063,1/30/2013,4,9:01:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,1,low
7925,130064,1/30/2013,4,12:20:00 PM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7926,130065,1/30/2013,4,12:22:00 PM,1,10 Code White - HEB,2,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7927,130066,1/31/2013,5,11:35:00 PM,3,20 Safety Hazard,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7928,130067,2/1/2013,6,10:25:00 AM,1,19 Show Of Force - HEB,1,Emergency Department,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1.25,2.278125,TRUE,3,high
7929,130068,2/3/2013,1,12:29:00 AM,3,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7930,130069,2/3/2013,1,2:03:00 PM,2,19 Show Of Force - HEB,1,Main,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,1.1,FALSE,2,med
7931,130070,2/4/2013,2,4:25:00 PM,2,19 Show Of Force - HEB,1,Emergency Department,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7932,130071,2/4/2013,2,4:35:00 PM,2,19a Show Of Force - Springwood ,1,Hospital Grounds,YES,1.5,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1.5,FALSE,2,med
7933,130072,2/5/2013,3,6:35:00 PM,2,05 Code Red,3,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7934,130073,2/8/2013,6,5:39:00 AM,3,32 Other,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7935,130074,2/8/2013,6,12:06:00 PM,1,10 Code White - HEB,2,Emergency Department,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1.25,4.55625,TRUE,3,high
7936,130075,2/8/2013,6,9:50:00 AM,1,23 Theft Hospital,2,Hospital Grounds,YES,1.5,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,1,low
7937,130076,2/9/2013,7,1:25:00 PM,1,09 Code Pink,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7938,130077,2/11/2013,2,2:25:00 PM,2,27 Vandalism Personal,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7939,130078,2/11/2013,2,9:22:00 PM,2,10 Code White - HEB,2,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7940,130079,2/11/2013,2,9:35:00 PM,2,19 Show Of Force - HEB,1,Main,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1.25,2.278125,TRUE,1,low
7942,130081,2/12/2013,3,2:56:00 AM,3,19 Show Of Force - HEB,1,Main,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1,1.8225,FALSE,2,med
7941,130080,2/12/2013,3,2:37:00 AM,3,19 Show Of Force - HEB,1,Main,NO,1,Verbal,1.1,FALSE,1,FALSE,1,TRUE,1.35,1,1.485,FALSE,2,med
7943,130082,2/12/2013,3,3:59:00 AM,3,37 Security Breach,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7944,130083,2/13/2013,4,1:30:00 PM,1,10a Code White - Springwood,2,Springwood,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1.25,4.55625,TRUE,3,high
7945,130084,2/14/2013,5,2:55:00 AM,3,28 Vehicle Accident,2,Hospital Grounds,YES,1.5,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7947,130086,2/14/2013,5,12:30:00 PM,1,24 Theft Personal,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7946,130085,2/14/2013,5,10:20:00 AM,1,12 Disorderly,2,Hospital Grounds,NO,1,Verbal,1.1,FALSE,1,FALSE,1,TRUE,1.35,1,2.97,FALSE,1,low
7948,130087,2/15/2013,6,7:51:00 AM,1,09 Code Pink,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7949,130088,2/15/2013,6,11:50:00 AM,1,24 Theft Personal,2,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7950,130089,2/16/2013,7,1:40:00 PM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7951,130090,2/17/2013,1,6:30:00 PM,2,10a Code White - Springwood,2,Hospital Grounds,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1.25,4.55625,TRUE,2,med
7952,130091,2/18/2013,2,7:23:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7953,130092,2/19/2013,3,3:59:00 AM,3,37 Security Breach,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7954,130093,2/20/2013,4,12:17:00 AM,3,37 Security Breach,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7955,130094,2/20/2013,4,8:37:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7956,130095,2/20/2013,4,8:05:00 PM,2,23 Theft Hospital,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7957,130096,2/21/2013,5,11:50:00 AM,1,12 Disorderly,2,Hospital Grounds,NO,1,Physical,1.35,FALSE,1,FALSE,1,FALSE,1,1,2.7,FALSE,3,high
7958,130097,2/22/2013,6,3:11:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7959,130098,2/22/2013,6,6:10:00 PM,2,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7960,130099,2/22/2013,6,7:42:00 PM,2,05 Code Red,3,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,3,high
7961,130100,2/25/2013,2,9:43:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7962,130101,2/25/2013,2,12:58:00 PM,1,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,3,high
7963,130102,2/25/2013,2,6:25:00 PM,2,19a Show Of Force - Springwood ,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7964,130103,2/25/2013,2,6:30:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7965,130104,2/26/2013,3,12:04:00 AM,3,12 Disorderly,2,Emergency Department,YES,1.5,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1,5.4675,FALSE,2,med
7966,130105,2/26/2013,3,8:15:00 AM,1,12 Disorderly,2,Emergency Department,NO,1,Verbal,1.1,FALSE,1,FALSE,1,TRUE,1.35,1,2.97,FALSE,2,med
7967,130106,2/26/2013,3,11:26:00 AM,1,12 Disorderly,2,Emergency Department,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,2.2,FALSE,2,med
7968,130107,2/26/2013,3,10:42:00 AM,1,19 Show Of Force - HEB,1,Main,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1,1.8225,FALSE,2,med
7970,130109,2/26/2013,3,5:30:00 PM,2,19a Show Of Force - Springwood ,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7969,130108,2/26/2013,3,3:41:00 PM,2,19a Show Of Force - Springwood ,1,Springwood,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,1.1,FALSE,2,med
7971,130110,2/27/2013,4,12:12:00 AM,3,12 Disorderly,2,Hospital Grounds,YES,1.5,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1,5.4675,FALSE,3,high
7972,130111,2/28/2013,5,12:30:00 PM,1,23 Theft Hospital,2,Main,YES,1.5,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7973,130112,3/1/2013,6,10:35:00 AM,1,19a Show Of Force - Springwood ,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7974,130113,3/1/2013,6,3:18:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,3,high
7975,130114,3/2/2013,7,3:00:00 AM,3,37 Security Breach,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7976,130115,3/2/2013,7,3:35:00 PM,2,10 Code White - HEB,2,Main,NO,1,Physical,1.35,FALSE,1,FALSE,1,FALSE,1,1,2.7,FALSE,2,med
7977,130116,3/2/2013,7,7:40:00 PM,2,26 Vandalism Hospital,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7978,130117,3/2/2013,7,10:10:00 PM,3,01 Assault,2,Emergency Department,NO,1,Physical,1.35,FALSE,1,FALSE,1,FALSE,1,1.25,3.375,TRUE,2,med
7979,130118,3/3/2013,1,3:53:00 AM,3,28 Vehicle Accident,2,Hospital Grounds,YES,1.5,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7980,130119,3/3/2013,1,11:55:00 AM,1,16 Panic Button,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7981,130120,3/3/2013,1,6:31:00 PM,2,09 Code Pink,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7982,130121,3/4/2013,2,9:35:00 AM,1,37 Security Breach,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7983,130122,3/5/2013,3,3:00:00 PM,2,12 Disorderly,2,Medical Office Building,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,2.2,FALSE,3,high
7984,130123,3/6/2013,4,4:46:00 AM,3,12 Disorderly,2,Emergency Department ,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,3,high
7985,130124,3/6/2013,4,7:01:00 AM,1,05 Code Red,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7986,130125,3/7/2013,5,11:35:00 PM,3,32 Other,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7987,130126,3/7/2013,5,10:10:00 AM,1,10 Code White - HEB,2,Womens Center,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,2.2,FALSE,3,high
7988,130127,3/7/2013,5,2:10:00 PM,2,19 Show Of Force - HEB,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7989,130128,3/9/2013,7,1:55:00 PM,1,20 Safety Hazard,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7990,130129,3/12/2013,3,10:33:00 AM,1,24 Theft Personal,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7991,130130,3/12/2013,3,11:05:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7992,130131,3/12/2013,3,8:25:00 PM,2,19 Show Of Force - HEB,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7993,130132,3/13/2013,4,9:40:00 PM,2,37 Security Breach,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7994,130133,3/14/2013,5,5:48:00 AM,3,21 Suspicious Person,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,4,high
7995,130134,3/14/2013,5,5:46:00 AM,3,19 Show Of Force - HEB,1,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7997,130136,3/15/2013,6,12:55:00 PM,1,10a Code White - Springwood,2,Main,NO,1,Verbal,1.1,FALSE,1,FALSE,1,FALSE,1,1,2.2,FALSE,2,med
7996,130135,3/15/2013,6,9:06:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7998,130137,3/15/2013,6,3:23:00 PM,2,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7999,130138,3/16/2013,7,2:13:00 AM,3,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
8000,130139,3/16/2013,7,12:45:00 PM,1,24 Theft Personal,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
8001,130140,3/16/2013,7,7:37:00 PM,2,19a Show Of Force - Springwood ,1,Springwood,NO,1,Physical,1.35,FALSE,1,TRUE,1.15,TRUE,1.35,1,2.095875,FALSE,2,med
8002,130141,3/17/2013,1,1:00:00 AM,3,24 Theft Personal,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
8003,130142,3/18/2013,2,11:00:00 AM,1,09 Code Pink,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,3,high
8004,130143,3/18/2013,2,1:20:00 PM,1,28 Vehicle Accident,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
8005,130144,3/18/2013,2,3:14:00 PM,2,24 Theft Personal,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
8006,130145,3/19/2013,3,12:31:00 PM,1,37 Security Breach,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
8007,130146,3/19/2013,3,5:05:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
8008,130147,3/20/2013,4,6:44:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
8009,130148,3/20/2013,4,3:10:00 PM,2,37 Security Breach,1,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
8010,130149,3/20/2013,4,8:00:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
8011,130150,3/21/2013,5,9:20:00 AM,1,10 Code White - HEB,2,Hospital Grounds,NO,1,Verbal,1.1,FALSE,1,FALSE,1,TRUE,1.35,1,2.97,FALSE,3,high
8012,130151,3/21/2013,5,7:07:00 PM,2,10 Code White - HEB,2,Main,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1,3.645,FALSE,2,med
